BMD,MECHANICS_STIFFNESS,CORT_DTO__C_TH,CORT_DTO__C_TH_SD,CORT_MOM__J,CT_TH_RAD,CT_TH_RAD_STD,CANAL_VOLUME,CANAL_COUNT,CANAL_DENSITY,CANAL_FRACTION,CANAL_PRIMARY,CANAL_THETA_Z,LACUNA_COUNT,LACUNA_VOLUME,LACUNA_DENSITY,LACUNA_FRACTION,LACUNA_ANISOTROPY,LACUNA_OBLATENESS,LACUNA_PRIMARY,LACUNA_PRIMARY_Z,LACUNA_SECONDARY,DISTRIBUTION_AISO,DISTRIBUTION_OBLATENESS,CANAL_VOLUME_CV,CANAL_THETA,CANAL_THETA_CV,CANAL_PCA1,CANAL_PCA1_CV,CANAL_PCA2,CANAL_PCA2_CV,CANAL_PCA3,CANAL_PCA3_CV,FEMALE,ID
0.0302208,57.163180932,0.186455,0.019785,0.103288,78.558302908,17.440678779,18351.4692642,31.0,72.4587995907,0.00132972543361,0.911833545805,55.9974706788,17631.0,208.917065008,30332.2713589,0.00633692910733,0.680726796684,-0.325638938573,0.878830280633,0.998899520271,0.480613828683,0.165887862165,0.520610324271,1.4594037486,59.5764281406,0.281042343177,443.537228412,1.32621735098,120.150957713,1.67788386533,30.2944772331,0.700401813506,0,351
0.0327883,54.972010665,0.183007,0.015696,0.126947,88.6915155043,22.2386076142,27002.2177156,137.0,206.113055977,0.00556550961152,0.806896834302,49.3218905314,33254.0,251.523844299,49333.30356,0.0124085021634,0.683214035699,-0.350992835911,0.88193569232,0.996416686509,0.633105422046,0.296720238289,0.414689107659,2.10393758033,54.4876005409,0.401895950407,293.627859221,1.27218987387,84.4161389616,1.54125782179,34.9409006734,0.804821140927,0,356
0.0360747,73.590881364,0.21693,0.028019,0.171012,79.9735672094,8.86233899592,18464.6881394,128.0,177.921018561,0.00328525612116,0.819145945766,51.5423775769,38998.0,268.265062445,55037.2869339,0.0147645812162,0.696123080743,-0.328484589107,0.878919610416,0.99946140814,0.537000102758,0.614596087004,0.60659801396,1.14406336886,56.1206928616,0.3568762014,326.470697245,1.15569251999,87.7145780922,1.05115954398,32.9114871337,0.754326456871,0,357
0.0311451,49.854822732,0.193758,0.024087,0.099639,88.2150555916,23.2883668215,42840.6143695,147.0,247.019808823,0.0105824803714,0.710961477299,45.6697311389,29519.0,241.546224092,46646.4337107,0.0112672699302,0.689830168871,-0.379223639971,0.862002589353,0.997540348357,0.579044032346,0.218853779895,0.668404138444,1.97956342373,50.2069932818,0.445937805931,243.13037195,1.01452694363,81.4485408091,1.16216059138,37.6905266187,0.944862362451,0,359
0.0342261,66.578296356,0.175598,0.018144,0.17649,79.330125478,15.9686688183,25474.8832702,271.0,349.3447309,0.00889951624073,0.775991787053,48.0039463133,39541.0,280.110098985,55065.9455826,0.0154245274678,0.682882929435,-0.347002282443,0.861075696925,0.998442261636,0.599728280449,0.609071417999,0.669058420226,2.49474494823,53.561597492,0.44176184974,243.212520017,1.04114544828,80.5981727552,1.39415094128,39.7167278269,1.07504457942,1,360
0.0355612,71.973799326,0.186656,0.018924,0.173411,75.5484200243,8.87629197279,11907.5682246,149.0,220.73077288,0.00262836673733,0.864035631462,55.0692779768,32689.0,250.20288766,50203.5082043,0.0125610627234,0.680073914387,-0.357451066968,0.851662248548,0.999358661541,0.526129094997,0.256011104316,0.505869624444,2.49719814869,61.290973186,0.35743664606,258.783009943,1.35991101971,63.8270930235,1.36349739695,29.2549532216,1.03256548798,1,361
0.0309397,61.182856449,0.180875,0.018695,0.133577,81.7837168205,20.3757371523,21412.9793173,143.0,210.061120357,0.00449803442558,0.769823424077,47.5163889927,31822.0,252.916227196,48702.0764027,0.0123175454204,0.663561720037,-0.250508209565,0.840907645949,0.996364932975,0.511615204071,0.221477825944,0.383361595087,1.77577918508,52.4826238143,0.429677883897,290.814172731,1.38813462556,92.7879937435,1.20098628459,38.3657887042,0.835254599329,0,362
0.0343288,60.070041603,0.200754,0.018603,0.147795,82.4458874103,4.61930304297,27436.6007602,150.0,193.234514278,0.00530169822134,0.858575833174,54.0958524739,34823.0,264.313133127,48213.8136422,0.0127435441438,0.679613207039,-0.31768153266,0.862595244553,0.993970085581,0.582377068699,0.390111746392,0.485878356764,2.07863656321,59.0188109879,0.338621847508,335.174862563,0.956828019166,87.0670637446,1.00426872648,35.6401326991,0.773128562398,1,363
0.0334045,59.235763158,0.189529,0.015946,0.146845,84.6072910436,17.265430365,15011.8781633,139.0,203.594625764,0.00305633771667,0.815660093632,49.5665408989,35163.0,234.979970267,49810.6179148,0.0117044975166,0.682873865887,-0.33824141731,0.894199789145,0.999256573236,0.647529614861,0.410417878547,0.419465809816,1.24022197044,54.3521104697,0.388113649112,274.655934996,1.22810382659,70.0677944676,1.11513812512,29.9042853322,0.494012844229,1,364
0.0288857,48.798177714,0.164125,0.019168,0.120832,69.6157464872,19.0693738074,25081.5509155,162.0,282.444386901,0.00708414327085,0.776399444785,46.0613873379,27366.0,261.95802937,51082.6131729,0.0133815006819,0.66261915237,-0.314784648644,0.832590630863,0.992387743023,0.531828172677,0.257259944956,0.478549847169,2.85530615867,50.6246787536,0.444200043053,230.25714494,1.16936312361,77.9455936152,1.30220705062,35.3477614833,0.976696249186,0,366
0.0306316,63.059720724,0.178586,0.017173,0.147913,71.6262408866,6.27297285852,24084.6408854,164.0,280.15594881,0.00674745541898,0.694112450952,40.5941896179,43024.0,227.446776672,73206.5400773,0.0166505915719,0.677764746214,-0.474917710756,0.881268205898,0.998036344702,0.629939844303,0.637115101536,0.715850068054,1.00593786318,45.2087317877,0.539466312543,272.119489358,0.863512163035,79.909208162,0.921153192132,35.231148089,0.784852700694,1,367
0.0300154,55.659205602,0.169003,0.019708,0.132773,71.8645953137,9.18715329149,26248.4926545,268.0,440.68863902,0.0115674125043,0.747730393737,47.1283766968,44534.0,278.009625536,79356.5941262,0.0220618970168,0.668307161608,-0.425568155626,0.89424747972,0.999013620917,0.669635702218,0.690942653375,0.775972908986,2.07487999278,52.9629351496,0.458878433719,234.754476775,1.37922706005,75.0830311407,0.82087273553,37.9051591728,0.688749929024,1,368
0.0344315,66.535961778,0.188301,0.023862,0.153449,73.4163045449,5.85639689746,25624.5536518,162.0,244.656487442,0.00626921328874,0.735704107262,46.0193648822,28377.0,237.533582079,46159.4828221,0.0109644273017,0.674240101885,-0.400286036865,0.886885198427,0.990219179899,0.634394210166,0.24142262539,0.496933038793,2.05283752537,49.6619271031,0.395968627568,279.712295395,0.962762793027,69.4767206629,1.27840138887,33.6242647559,1.05714429114,1,369
0.0338153,61.727881644,0.195679,0.020442,0.139455,84.4485408889,20.6188527171,13743.2870408,310.0,443.990802849,0.00610189304704,0.529211333788,38.4617960493,42002.0,256.030247827,64833.4846333,0.0165993331382,0.679194781693,-0.273133503481,0.865790533595,0.998198745643,0.692704463693,0.693842876935,0.731917814336,2.32903618236,42.286035716,0.537119787297,238.213504519,0.713284936385,74.3685587067,0.952474053213,32.7781630508,1.04645761358,1,370
0.0345342,68.030751789,0.204693,0.020597,0.159868,77.5595771119,7.70105689362,20536.4006498,184.0,257.774587421,0.00529376220461,0.766337895084,40.7811367322,37606.0,232.589434082,55579.1096378,0.0129271136574,0.667034406404,-0.359067292372,0.855399711553,0.999196657603,0.544645700237,0.483578476908,0.605616598519,1.20801912917,45.5574565485,0.534396142619,269.784384066,0.819732630464,83.5848863172,0.968479446967,36.3255154606,0.785718494457,1,371
0.0310424,69.07211883,0.167919,0.018343,0.169201,74.6477180933,18.8927811292,35893.2270006,216.0,309.699926601,0.0111161297676,0.821017878605,50.6348632472,52824.0,267.228274874,84532.6622511,0.0225895175039,0.6839580776,-0.44851845947,0.866403532201,0.996608458107,0.620458023187,0.75546778621,0.824441418374,2.25775239183,55.502223559,0.389702426384,205.104950117,0.937116231851,72.8166904629,0.738575240543,38.0484780625,0.683682424103,0,372
0.0302208,53.823930732,0.150512,0.016968,0.11892,72.9784021679,19.4044823007,14932.0246404,91.0,163.725487325,0.00244475301101,0.894037324013,55.2584334213,29051.0,228.130738253,49574.2304608,0.0113094057933,0.673091204442,-0.332756872998,0.860075532012,0.99789016428,0.581920469938,0.238218515743,0.654894202478,2.55781910312,61.8644793391,0.35904347282,336.980588104,1.34736869087,89.6700392558,1.03847987105,32.8568350397,0.744511682223,0,373
0.031864,44.435390571,0.153748,0.014196,0.103616,73.656642168,15.2747748458,14177.2197305,110.0,191.72062353,0.00271806540664,0.814240755037,47.2626517397,25178.0,257.284190722,44773.5130317,0.0115195170661,0.699634724402,-0.371108856316,0.908665788326,0.999328572367,0.699366595549,0.270579990634,0.701971316612,1.29539604814,52.3722510382,0.432860956688,290.601290409,1.27563440676,60.1909019729,1.09324364039,25.487928276,0.385217451464,1,447
0.0350477,64.997741952,0.175983,0.01438,0.134374,81.1214967966,10.3068558846,24566.2215214,119.0,143.75099828,0.00353141886766,0.642846842002,39.8052050761,29115.0,277.468560572,37017.1387861,0.0102710922155,0.685778726848,-0.37486134565,0.86529493729,0.999148514,0.525677156511,0.197738696582,0.722008412598,1.36821639193,44.3571189476,0.553129288694,241.950700498,1.24597091377,63.5456995112,0.952348512481,28.7970220999,0.534465862513,1,455
