// Sample: lacun_edge.csv
// Component 1, Component 2, Voxels
1, 2, 16
1, 53, 62
3, 17, 558
4, 16, 178
9, 37, 254
9, 15, 132
10, 43, 36
21, 33, 78
20, 33, 116
20, 21, 204
25, 27, 250
29, 42, 394
35, 50, 36
33, 36, 382
37, 59, 244
37, 43, 558
47, 52, 102
44, 51, 58
44, 55, 90
44, 60, 72
50, 72, 310
49, 63, 128
55, 72, 358
59, 71, 220
58, 67, 72
61, 71, 52
60, 64, 182
71, 78, 326
66, 68, 74
66, 71, 58
66, 94, 4
66, 79, 164
76, 94, 16
79, 94, 36
72, 88, 246
74, 93, 10
75, 90, 48
85, 92, 2
85, 88, 266
87, 112, 310
87, 108, 8
87, 90, 4
86, 93, 338
86, 91, 188
81, 97, 136
81, 93, 132
81, 95, 72
81, 106, 928
80, 86, 66
93, 102, 148
93, 95, 364
93, 109, 106
92, 100, 136
95, 105, 142
94, 128, 40
89, 90, 222
88, 101, 100
88, 112, 220
88, 110, 290
91, 95, 256
91, 104, 32
102, 127, 430
102, 109, 256
102, 135, 450
100, 103, 448
101, 112, 432
101, 110, 96
97, 116, 274
97, 114, 66
97, 106, 160
97, 107, 20
110, 112, 148
110, 120, 214
111, 126, 80
108, 113, 448
108, 112, 274
108, 133, 118
109, 127, 950
106, 129, 106
104, 111, 94
104, 126, 38
105, 115, 98
118, 139, 8
118, 140, 1424
117, 118, 268
117, 125, 110
115, 119, 352
114, 116, 64
114, 132, 328
113, 117, 680
112, 144, 28
112, 125, 248
112, 133, 152
127, 134, 72
124, 136, 4
123, 139, 268
122, 128, 158
122, 130, 104
121, 124, 474
120, 125, 428
137, 162, 206
136, 143, 320
136, 147, 180
139, 140, 406
141, 145, 76
141, 149, 46
143, 147, 160
142, 154, 32
142, 159, 378
142, 166, 18
129, 132, 100
128, 137, 1062
128, 145, 10
128, 130, 98
128, 133, 144
128, 149, 1630
130, 145, 96
130, 133, 38
135, 154, 12
135, 148, 224
152, 160, 206
154, 179, 42
154, 166, 348
156, 160, 456
158, 163, 34
144, 151, 486
146, 151, 6
147, 160, 474
147, 164, 176
147, 151, 320
149, 173, 406
149, 194, 74
151, 164, 62
171, 180, 114
169, 180, 28
175, 182, 4
175, 183, 72
175, 192, 32
174, 177, 2
173, 193, 198
163, 166, 78
160, 162, 54
167, 171, 6
167, 169, 560
166, 191, 10
166, 178, 152
187, 194, 118
185, 190, 216
190, 205, 192
191, 197, 58
178, 191, 58
179, 204, 24
179, 197, 162
179, 214, 450
180, 205, 6
180, 185, 158
180, 190, 118
180, 209, 42
181, 183, 168
205, 209, 216
207, 208, 32
206, 216, 2
206, 210, 326
203, 209, 246
197, 214, 538
197, 215, 90
198, 209, 2
192, 195, 386
209, 210, 2
